time,seconds_elapsed,z,y,x
1773237392614960000,0.515960205078125,4.093999862670898,0.5139999985694885,8.288000106811523
1773237392625030400,0.526030517578125,3.933000087738037,0.8159999847412109,8.333999633789062
1773237392635100700,0.5361005859375,3.634000062942505,0.9070000052452087,8.45300006866455
1773237392645171200,0.546171142578125,3.549999952316284,0.8610000014305115,8.675999641418457
1773237392655241500,0.556241455078125,3.2290000915527344,0.5860000252723694,8.994999885559082
1773237392665311700,0.566311767578125,2.765000104904175,0.2919999957084656,9.329999923706055
1773237392675382000,0.576382080078125,2.611999988555908,0.10499999672174454,9.39900016784668
1773237392685452300,0.586452392578125,2.6019999980926514,-0.10000000149011612,9.343999862670898
1773237392695522600,0.5965224609375,2.193000078201294,-0.35600000619888306,9.456999778747559
1773237392705593000,0.606593017578125,2.114000082015991,-0.47600001096725464,9.604999542236328
1773237392715663400,0.616663330078125,2.424999952316284,-0.34700000286102295,9.484999656677246
1773237392725733600,0.626733642578125,2.6549999713897705,-0.16200000047683716,9.270000457763672
1773237392735804000,0.636803955078125,2.5329999923706055,-0.03099999949336052,9.298999786376953
1773237392745874200,0.646874267578125,2.6429998874664307,0.20499999821186066,9.368000030517578
1773237392755944400,0.6569443359375,2.765000104904175,0.4620000123977661,9.081000328063965
1773237392766014700,0.6670146484375,2.765000104904175,0.550000011920929,8.968000411987305
1773237392776085200,0.677085205078125,2.4560000896453857,0.4090000092983246,9.178999900817871
1773237392786155500,0.687155517578125,2.441999912261963,0.2919999957084656,9.305999755859375
1773237392796225500,0.6972255859375,2.4539999961853027,0.2199999988079071,9.3149995803833
1773237392806296000,0.707296142578125,2.5920000076293945,0.06400000303983688,9.295999526977539
1773237392816366300,0.717366455078125,2.3340001106262207,-0.07900000363588333,9.253000259399414
1773237392826436600,0.7274365234375,2.572999954223633,-0.16500000655651093,9.185999870300293
1773237392836507000,0.7375068359375,3.0329999923706055,-0.2029999941587448,9.071000099182129
1773237392846577200,0.7475771484375,3.0139999389648438,-0.26499998569488525,9.09000015258789
1773237392856647400,0.7576474609375,3.003999948501587,-0.3059999942779541,9.232000350952148
1773237392866717700,0.7677177734375,3.319999933242798,-0.05900000035762787,9.222000122070312
1773237392876788000,0.7777880859375,3.1740000247955322,0.3779999911785126,9.001999855041504
1773237392886858200,0.787858154296875,3.3540000915527344,0.7820000052452087,8.869999885559082
1773237392896928500,0.797928466796875,3.2149999141693115,1.1649999618530273,8.925000190734863
1773237392906999000,0.8079990234375,3.121999979019165,1.5269999504089355,8.994999885559082
1773237392917069300,0.8180693359375,3.319999933242798,1.7519999742507935,8.70199966430664
1773237392927139600,0.8281396484375,3.125999927520752,1.6109999418258667,8.576000213623047
1773237392937209900,0.8382099609375,3.0209999084472656,1.1579999923706055,8.876999855041504
1773237392947280100,0.848280029296875,3.125999927520752,0.5690000057220459,9.038000106811523
1773237392957350400,0.858350341796875,2.9709999561309814,-0.0860000029206276,8.984999656677246
1773237392967420700,0.868420654296875,3.3970000743865967,-0.6579999923706055,9.119000434875488
1773237392977491000,0.878490966796875,2.9539999961853027,-1.1460000276565552,8.982999801635742
1773237392987561200,0.888561279296875,3.25600004196167,-1.4620000123977661,8.901000022888184
1773237392997631700,0.8986318359375,3.4639999866485596,-1.5839999914169312,9.045000076293945
1773237393007702000,0.908701904296875,3.4570000171661377,-1.625,9.074000358581543
1773237393017772300,0.918772216796875,3.4830000400543213,-1.496000051498413,8.946999549865723
1773237393027842600,0.928842529296875,3.7799999713897705,-1.0460000038146973,8.930000305175781
1773237393037912800,0.938912841796875,4.039000034332275,-0.5210000276565552,8.756999969482422
1773237393047983000,0.948983154296875,3.9210000038146973,0.02800000086426735,8.619000434875488
1773237393058053400,0.959053466796875,3.6480000019073486,0.5600000023841858,8.630999565124512
1773237393068123600,0.96912353515625,3.6630001068115234,1.125,8.512999534606934
1773237393078194200,0.979194091796875,3.4619998931884766,1.5169999599456787,8.47700023651123
1773237393088264400,0.989264404296875,3.365999937057495,1.4910000562667847,8.635000228881836
1773237393098334700,0.999334716796875,2.7360000610351562,1.1150000095367432,8.92300033569336
1773237393108405000,1.009405029296875,2.492000102996826,0.7179999947547913,9.217000007629395
1773237393118475300,1.019475341796875,2.4609999656677246,0.3160000145435333,9.380000114440918
1773237393128545500,1.029545654296875,2.63100004196167,-0.10999999940395355,9.609999656677246
1773237393138616000,1.039615966796875,2.190000057220459,-0.36800000071525574,9.706000328063965
1773237393148686300,1.049686279296875,2.7260000705718994,-0.2840000092983246,9.468999862670898
1773237393158756600,1.059756591796875,3.302999973297119,-0.14100000262260437,8.913000106811523
1773237393168827000,1.069826904296875,3.380000114440918,-0.007000000216066837,8.805000305175781
1773237393178897200,1.079897216796875,3.7899999618530273,0.22699999809265137,8.755000114440918
1773237393188967700,1.0899677734375,4.144000053405762,0.6579999923706055,8.300000190734863
1773237393199038000,1.100037841796875,4.581999778747559,0.9620000123977661,7.888000011444092
1773237393209108200,1.110108154296875,4.679999828338623,0.8090000152587891,7.863999843597412
1773237393219178800,1.1201787109375,3.997999906539917,0.3179999887943268,8.105999946594238
1773237393229249000,1.1302490234375,3.9600000381469727,-0.3610000014305115,8.531999588012695
1773237393239319300,1.1403193359375,3.556999921798706,-1.090999960899353,9.062000274658203
1773237393249389600,1.1503896484375,2.9040000438690186,-1.5390000343322754,9.543000221252441
1773237393259460000,1.160460205078125,2.5450000762939453,-1.5720000267028809,9.67199993133545
1773237393269530400,1.1705302734375,2.377000093460083,-1.2230000495910645,9.746000289916992
1773237393279600600,1.1806005859375,2.115999937057495,-0.5770000219345093,9.861000061035156
1773237393289671000,1.1906708984375,2.122999906539917,0.2919999957084656,9.645999908447266
1773237393299741400,1.200741455078125,2.2669999599456787,1.1770000457763672,9.121000289916992
1773237393309811700,1.210811767578125,2.6019999980926514,1.8739999532699585,8.89900016784668
1773237393319882000,1.220882080078125,3.0329999923706055,2.2360000610351562,8.675999641418457
1773237393329952300,1.2309521484375,3.6429998874664307,2.177999973297119,8.376999855041504
1773237393340022800,1.241022705078125,3.825000047683716,1.781000018119812,8.390999794006348
1773237393350093000,1.251093017578125,3.7869999408721924,1.3980000019073486,8.418000221252441
1773237393360163300,1.261163330078125,4.505000114440918,1.093999981880188,8.057999610900879
1773237393370233600,1.271233642578125,4.505000114440918,0.6480000019073486,8.123000144958496
1773237393380304000,1.281303955078125,3.828000068664551,-0.026000000536441803,8.579999923706055
1773237393390374400,1.29137451171875,3.490000009536743,-0.5139999985694885,8.954000473022461
1773237393400444700,1.301444580078125,3.4230000972747803,-0.7820000052452087,9.03499984741211
1773237393410515000,1.311514892578125,3.055000066757202,-1.121999979019165,9.164999961853027
1773237393420585200,1.321585205078125,2.5969998836517334,-1.4980000257492065,9.519000053405762
1773237393430655700,1.33165576171875,2.367000102996826,-1.7829999923706055,9.758000373840332
1773237393440726000,1.34172607421875,2.430000066757202,-1.7330000400543213,9.866000175476074
1773237393450796300,1.35179638671875,2.6500000953674316,-1.399999976158142,9.65999984741211
1773237393460866600,1.361866455078125,2.9230000972747803,-0.7919999957084656,9.121000289916992
1773237393470936800,1.371936767578125,3.6530001163482666,-0.13600000739097595,8.656999588012695
1773237393481007000,1.382007080078125,3.871000051498413,0.3319999873638153,8.371999740600586
1773237393491077600,1.39207763671875,4.1529998779296875,0.824999988079071,8.23799991607666
1773237393501148000,1.40214794921875,4.63700008392334,1.2589999437332153,8.057999610900879
1773237393511218200,1.41221826171875,4.646999835968018,1.440999984741211,7.800000190734863
1773237393521288700,1.422288818359375,4.454999923706055,1.3980000019073486,8.005999565124512
1773237393531359000,1.43235888671875,4.033999919891357,1.1649999618530273,8.29800033569336
1773237393541429200,1.44242919921875,3.828000068664551,0.8759999871253967,8.576000213623047
1773237393551499500,1.45249951171875,3.305999994277954,0.5809999704360962,8.937000274658203
1773237393561570000,1.462570068359375,3.0380001068115234,0.3059999942779541,9.21500015258789
